Order_ID,Product_ID,Product_Line,Product_Category,Product_Group,Product_Name,Supplier_ID,Supplier_Name,Customer_ID,Customer_Name,Customer_Country,Customer_Gender,Customer_Age_Group,Customer_Age,Customer_Group,Customer_Type,Order_Type,Order_Date,Delivery_Date,Quantity,Total_Retail_Price,Profit,Days_To_Deliver
1241142135,230100600022,Outdoors,Outdoors,Sleepingbags,"Expedition10,Medium,Right,Blue Ribbon",755,Top Sports,59,Martin Barnes,GB,M,61-75 years,73,Orion Club members,Club medium activity,1,12JAN2019,12JAN2019,1,84.10,41.95,0
1238536246,220100400022,Clothes & Shoes,Clothes,LSF,Ultra M803 Ng Men's Street Shoes,5503,Ultra Sporting Goods Inc,83,Katrin Singldinger,DE,F,31-45 years,43,Orion Club Gold members,Gold low activity,1,22FEB2018,22FEB2018,1,98.90,51.20,0
1233155902,240100100118,Sports,Assorted Sports Articles,Assorted Sports articles,"Morphe,Sand",16814,CrystalClear Optics Inc,109,Jim Ziolowski,GB,M,61-75 years,63,Orion Club Gold members,Gold high activity,1,22JUN2016,22JUN2016,2,208.40,125.20,0
1241244297,240500100041,Sports,Running - Jogging,Jogging,Triffy Jacket,13314,Triffy B.V.,111,Karolina Dokter,AU,F,31-45 years,33,Orion Club members,Club medium activity,1,24JAN2019,24JAN2019,2,258.20,154.80,0
1234693346,210200100010,Children,Children Sports,"A-Team, Kids","Kids Sweat with Hood, Large Logo",3298,A Team Sports,123,Ernie Hotten,GB,M,31-45 years,33,Orion Club members,Club high activity,1,27JAN2017,27JAN2017,1,41.50,23.00,0
1239791435,220100700035,Clothes & Shoes,Clothes,Orion,Original Nylon Men,16733,Fuller Trading Co.,142,Albert Chuaprasert,US,M,46-60 years,58,Orion Club Gold members,Gold high activity,1,28JUL2018,28JUL2018,2,124.40,65.10,0
1231348963,220200300158,Clothes & Shoes,Shoes,Tracker Shoes,Hardcore Shoes,14682,Greenline Sports Ltd,147,Ulrike Schönbach,DE,F,31-45 years,33,Orion Club members,Club high activity,1,04SEP2015,04SEP2015,2,174.60,93.20,0
1241521275,210200400068,Children,Children Sports,"Eclipse, Kid's Shoes",Tony's Baby Rockskipper,1303,Eclipse Inc,163,Georgette Goulsbra,GB,F,31-45 years,33,Orion Club members,Club low activity,1,23FEB2019,23FEB2019,1,35.60,17.70,0
1231740004,220200200077,Clothes & Shoes,Shoes,Shoes,Twain Women's Exit Iii Mid Cd X-Hiking Shoes,13198,Twain Inc,177,Rosalba Mengoli,IT,F,31-45 years,38,Orion Club Gold members,Gold high activity,1,13NOV2015,13NOV2015,1,126.00,68.65,0
1241652731,220100100081,Clothes & Shoes,Clothes,Eclipse Clothing,Big Guy Men's  Dri Fit Pocket Polo-Shirt,1303,Eclipse Inc,188,Christopher Metzger,US,M,15-30 years,19,Orion Club Gold members,Gold high activity,1,09MAR2019,09MAR2019,1,54.90,27.35,0
